name,time,star_rank,star_normalized_rank,push_rank,push_normalized_rank,pull_rank,pull_normalized_rank,issue_rank,issue_normalized_rank
Java,2020_1,4.0,13.0,3.0,9.0,3.0,8.0,3.0,15.0
C_plus_plus,2020_1,5.0,12.0,4.0,13.0,5.0,5.0,5.0,5.0
PHP,2020_1,6.0,10.0,5.0,15.0,8.0,16.0,6.0,13.0
TypeScript,2020_1,7.0,3.0,8.0,2.0,7.0,3.0,7.0,4.0
C,2020_1,8.0,4.0,10.0,11.0,10.0,9.0,9.0,6.0
C_sharp,2020_1,9.0,7.0,7.0,8.0,9.0,11.0,8.0,7.0
Swift,2020_1,10.0,16.0,13.0,12.0,13.0,15.0,13.0,14.0
Ruby,2020_1,11.0,15.0,9.0,10.0,6.0,12.0,10.0,19.0
Objective-C,2020_1,12.0,18.0,16.0,16.0,16.0,18.0,15.0,18.0
Rust,2020_1,13.0,5.0,12.0,4.0,12.0,7.0,14.0,10.0
Kotlin,2020_1,14.0,1.0,14.0,3.0,14.0,1.0,12.0,2.0
Dart,2020_1,15.0,2.0,19.0,1.0,15.0,6.0,11.0,1.0
Scala,2020_1,16.0,19.0,11.0,6.0,11.0,4.0,16.0,16.0
Lua,2020_1,17.0,17.0,17.0,18.0,18.0,19.0,17.0,9.0
Perl,2020_1,18.0,8.0,15.0,7.0,17.0,17.0,18.0,11.0
R,2020_1,19.0,9.0,18.0,17.0,19.0,13.0,19.0,12.0
JavaScript,2020_2,1.0,13.0,1.0,12.0,1.0,13.0,1.0,17.0
Python,2020_2,2.0,11.0,2.0,13.0,2.0,10.0,2.0,8.0
Java,2020_2,3.0,12.0,3.0,15.0,3.0,9.0,3.0,11.0
Go,2020_2,4.0,5.0,7.0,6.0,4.0,1.0,5.0,3.0
C_plus_plus,2020_2,5.0,9.0,4.0,8.0,5.0,4.0,4.0,5.0
